date,transaction_id,item_id,product_name,product_description,product_category,quantity,original_price,discount,price,sales_amount,delivery_amount,total_amount
2023-01-05,TX10001,ITM001,Wireless Earbuds,"Noise cancelling wireless earbuds with 20hr battery",Electronics,1,129.99,10.00,119.99,119.99,5.99,125.98
2023-01-07,TX10002,ITM002,Stainless Steel Water Bottle,"750ml insulated stainless steel bottle",Home & Kitchen,2,24.99,5.00,19.99,39.98,4.99,44.97
2023-01-08,TX10003,ITM003,Organic Cotton T-Shirt,"100% organic cotton crew neck t-shirt",Clothing,1,29.95,3.00,26.95,26.95,0.00,26.95
2023-01-10,TX10004,ITM004,Bluetooth Speaker,"Portable waterproof speaker with 12hr playback",Electronics,1,89.99,15.00,74.99,74.99,6.99,81.98
2023-01-12,TX10005,ITM005,Non-Stick Frying Pan,"10-inch ceramic non-stick frying pan",Home & Kitchen,1,39.95,7.00,32.95,32.95,0.00,32.95
2023-01-15,TX10006,ITM006,Yoga Mat,"6mm thick eco-friendly yoga mat",Sports & Fitness,1,45.00,5.00,40.00,40.00,0.00,40.00
2023-01-17,TX10007,ITM007,Smart Watch,"Fitness tracker with heart rate monitor",Electronics,1,199.99,25.00,174.99,174.99,8.99,183.98
2023-01-19,TX10008,ITM008,Leather Wallet,"Genuine leather bifold wallet",Accessories,1,49.95,10.00,39.95,39.95,0.00,39.95
2023-01-21,TX10009,ITM009,Electric Toothbrush,"Rechargeable toothbrush with 3 modes",Health & Beauty,1,79.95,12.00,67.95,67.95,4.99,72.94
2023-01-23,TX10010,ITM010,Coffee Maker,"12-cup programmable coffee maker",Home & Kitchen,1,59.99,8.00,51.99,51.99,7.99,59.98
2023-01-25,TX10011,ITM011,Running Shoes,"Lightweight running shoes with cushioning",Footwear,1,89.95,15.00,74.95,74.95,0.00,74.95
2023-01-27,TX10012,ITM012,Backpack,"Water-resistant backpack with laptop compartment",Bags,1,69.99,10.00,59.99,59.99,0.00,59.99
